student_id,department,course,semester,enrollment_status,gender,year,age,gpa,credits,tuition_fee,scholarship_amount,enrollment_date
STU00018,Chemistry,Analytical Chemistry,Fall 2023,Enrolled,Female,Junior,18,2.95,2,6271.17,1170.13,2023-08-19
STU00019,Psychology,Intro to Psychology,Spring 2025,Enrolled,Female,Graduate,24,2.31,2,16224.87,3727.76,2025-01-20
STU00020,Physics,Thermodynamics,Spring 2025,Completed,Female,Graduate,24,3.42,1,20215.7,6807.97,2025-01-19
STU00021,Business Administration,Accounting,Spring 2024,Enrolled,Male,Junior,24,3.02,2,9034.38,4855.6,2024-01-24
STU00022,Computer Science,Machine Learning,Spring 2025,Waitlisted,Male,Senior,21,2.62,1,16265.51,6787.75,2025-01-10
STU00023,Psychology,Cognitive Psychology,Spring 2023,Completed,Female,Junior,24,3.54,4,9061.22,5126.04,2023-01-16
STU00024,Biology,Anatomy,Spring 2025,Completed,Female,Senior,28,4.0,3,18895.7,9982.23,2025-01-15
STU00025,Economics,Game Theory,Spring 2024,Enrolled,Male,Freshman,26,3.05,2,9368.81,2341.32,2024-01-18
STU00026,Business Administration,Finance,Spring 2023,Completed,Male,Freshman,27,2.62,1,7441.76,1590.89,2023-01-10
STU00027,English,Creative Writing,Spring 2024,Enrolled,Female,Graduate,22,2.9,2,21360.3,11031.28,2024-01-14
STU00028,Business Administration,Entrepreneurship,Spring 2024,Dropped,Female,Sophomore,23,2.37,1,15214.95,3810.53,2024-01-12
STU00029,Mathematics,Probability,Spring 2024,Completed,Male,Freshman,18,2.93,1,23858.19,4626.62,2024-01-16
STU00030,Computer Science,Operating Systems,Fall 2024,Dropped,Male,Sophomore,21,2.7,2,12272.59,7155.77,2024-08-31
STU00031,Psychology,Abnormal Psychology,Spring 2023,Enrolled,Male,Freshman,29,3.09,4,11017.57,1882.95,2023-01-26
STU00032,Psychology,Intro to Psychology,Spring 2023,Waitlisted,Female,Freshman,28,2.26,2,17191.29,5185.02,2023-01-14
STU00033,Physics,Quantum Physics,Spring 2024,Enrolled,Male,Freshman,18,3.82,2,15618.69,4196.27,2024-01-13
STU00034,History,World History,Spring 2025,Enrolled,Female,Senior,24,3.63,3,18442.71,8427.8,2025-01-22
STU00035,History,Modern History,Fall 2024,Completed,Male,Sophomore,23,3.8,1,17670.59,5680.47,2024-08-27
STU00036,Business Administration,Business Ethics,Fall 2024,Completed,Male,Graduate,22,2.4,4,8014.35,2443.73,2024-08-27
STU00037,Psychology,Developmental Psychology,Fall 2023,Waitlisted,Male,Sophomore,20,3.95,1,5331.76,1638.21,2023-09-02
STU00038,Business Administration,Marketing,Fall 2024,Enrolled,Male,Graduate,25,3.54,2,17903.46,1873.06,2024-08-12
STU00039,Business Administration,Entrepreneurship,Spring 2023,Enrolled,Female,Graduate,29,3.41,3,7750.42,1586.04,2023-01-27
STU00040,Chemistry,Organic Chemistry,Fall 2024,Enrolled,Male,Sophomore,24,3.02,3,15828.96,6608.13,2024-08-18
STU00041,Economics,Econometrics,Spring 2025,Waitlisted,Male,Graduate,33,2.24,1,24925.07,14437.89,2025-01-10
STU00042,Mathematics,Discrete Math,Fall 2023,Enrolled,Female,Freshman,22,3.16,2,22652.73,2564.84,2023-08-23
STU00043,English,British Literature,Fall 2023,Dropped,Female,Graduate,24,3.51,1,22126.49,5370.21,2023-08-15
STU00044,Psychology,Social Psychology,Spring 2025,Enrolled,Female,Junior,25,3.34,1,22018.57,12360.81,2025-01-09
STU00045,Mathematics,Probability,Fall 2024,Enrolled,Female,Junior,23,3.53,2,12445.66,7020.35,2024-08-29
STU00046,Chemistry,Physical Chemistry,Spring 2024,Waitlisted,Female,Freshman,19,3.99,4,14712.28,3958.4,2024-01-16
STU00047,Chemistry,General Chemistry,Spring 2023,Dropped,Female,Junior,21,2.61,2,11507.99,5154.37,2023-01-17
STU00048,Economics,Game Theory,Fall 2024,Completed,Male,Sophomore,24,3.49,1,19418.8,3589.3,2024-08-27
STU00049,English,Poetry,Fall 2024,Completed,Male,Junior,29,4.0,1,10009.24,3542.5,2024-08-17
STU00050,English,American Literature,Fall 2024,Completed,Male,Graduate,34,3.17,4,14734.84,8010.73,2024-08-13
STU00051,Business Administration,Business Ethics,Fall 2023,Waitlisted,Female,Sophomore,22,4.0,4,14850.35,1739.66,2023-08-30
STU00052,Computer Science,Algorithms,Fall 2024,Enrolled,Female,Sophomore,20,3.15,3,16440.08,7581.05,2024-08-28
STU00053,Physics,Relativity,Spring 2023,Waitlisted,Female,Sophomore,29,2.99,2,5309.13,2957.14,2023-01-26
STU00054,Economics,Econometrics,Fall 2023,Dropped,Male,Freshman,22,3.46,2,16445.85,9673.43,2023-09-03
STU00055,History,European History,Fall 2023,Enrolled,Female,Junior,22,2.8,4,14705.6,3288.35,2023-08-24
STU00056,Psychology,Social Psychology,Spring 2025,Enrolled,Non-binary,Sophomore,23,2.69,3,18920.6,6471.54,2025-01-23
STU00057,Computer Science,Data Structures,Fall 2024,Enrolled,Female,Senior,23,2.45,1,10905.81,2110.61,2024-08-19
STU00058,History,Modern History,Fall 2023,Enrolled,Male,Graduate,22,2.72,2,7732.43,3288.96,2023-08-21
STU00059,English,Composition,Spring 2023,Completed,Male,Junior,27,3.36,1,22341.45,12241.87,2023-01-16
STU00060,Chemistry,Physical Chemistry,Fall 2023,Completed,Male,Junior,26,3.36,2,17557.89,2046.62,2023-08-22
STU00061,Biology,Microbiology,Fall 2024,Enrolled,Female,Sophomore,29,2.32,3,18440.52,3630.78,2024-09-02
STU00062,History,Modern History,Spring 2025,Enrolled,Male,Graduate,31,4.0,3,22208.09,3334.56,2025-01-15
STU00063,Economics,International Economics,Spring 2024,Enrolled,Male,Sophomore,23,3.28,1,11533.02,5728.7,2024-01-19
STU00064,Chemistry,Physical Chemistry,Fall 2024,Completed,Male,Sophomore,29,2.16,3,17457.81,893.99,2024-08-24
STU00065,Biology,Genetics,Spring 2023,Enrolled,Non-binary,Graduate,25,3.93,1,7767.06,618.62,2023-01-27
STU00066,Economics,International Economics,Spring 2025,Completed,Female,Senior,29,2.73,4,19291.9,475.36,2025-01-24
STU00067,History,US History,Spring 2023,Completed,Female,Freshman,29,2.67,4,8686.67,421.51,2023-01-18
STU00068,Biology,Genetics,Spring 2025,Completed,Male,Graduate,33,3.52,2,13179.06,1370.31,2025-01-06
STU00069,Mathematics,Statistics,Spring 2023,Completed,Female,Graduate,23,2.94,3,8657.32,4854.75,2023-01-10
STU00070,Economics,Game Theory,Spring 2025,Waitlisted,Male,Graduate,34,3.0,4,19757.94,6571.74,2025-01-08
STU00071,Physics,Relativity,Spring 2025,Completed,Female,Junior,29,2.51,4,7403.29,1518.62,2025-01-10
STU00072,Biology,Ecology,Spring 2024,Completed,Male,Junior,18,3.21,3,11228.27,6598.93,2024-01-12
STU00073,Psychology,Intro to Psychology,Spring 2023,Enrolled,Female,Sophomore,29,2.83,1,14293.48,5572.52,2023-01-19
STU00074,History,Ancient Civilizations,Spring 2024,Completed,Male,Senior,23,3.65,4,17701.87,481.18,2024-01-17
STU00075,Business Administration,Business Ethics,Spring 2023,Waitlisted,Female,Senior,27,3.1,1,15787.55,6478.87,2023-01-25
STU00076,English,British Literature,Spring 2025,Waitlisted,Female,Senior,25,3.48,2,23877.83,13528.01,2025-01-25
STU00077,Economics,Macroeconomics,Fall 2023,Completed,Male,Senior,25,3.47,2,7570.01,3684.49,2023-08-25
STU00078,Economics,Macroeconomics,Spring 2025,Completed,Female,Graduate,26,4.0,1,17518.79,8623.73,2025-01-13
STU00079,Mathematics,Probability,Spring 2024,Waitlisted,Male,Junior,27,2.77,4,9291.78,2103.25,2024-01-26
STU00080,English,American Literature,Spring 2024,Enrolled,Female,Junior,19,2.67,4,18660.14,797.03,2024-01-15
STU00081,Chemistry,General Chemistry,Spring 2024,Completed,Male,Junior,27,2.54,2,10213.89,3039.88,2024-01-28
STU00082,Mathematics,Differential Equations,Spring 2025,Enrolled,Male,Sophomore,19,3.74,2,17578.86,9254.97,2025-01-09
STU00083,Computer Science,Algorithms,Fall 2023,Completed,Male,Sophomore,26,2.79,4,8548.79,3850.11,2023-08-17
STU00084,Chemistry,Biochemistry,Fall 2023,Completed,Female,Freshman,18,3.54,2,19632.96,1504.16,2023-08-31
STU00085,Chemistry,General Chemistry,Fall 2024,Waitlisted,Female,Senior,24,3.62,4,16237.33,2324.51,2024-08-24
STU00086,Biology,Cell Biology,Fall 2024,Dropped,Male,Junior,24,3.21,1,20090.86,1243.11,2024-08-28
STU00087,Business Administration,Marketing,Spring 2024,Completed,Male,Graduate,22,3.75,3,11400.99,6125.91,2024-01-24
STU00088,Computer Science,Operating Systems,Spring 2025,Enrolled,Non-binary,Senior,21,3.11,2,5216.75,2833.89,2025-01-17
STU00089,History,US History,Fall 2024,Waitlisted,Male,Graduate,30,3.26,4,24012.14,8261.68,2024-08-26
STU00090,Economics,International Economics,Spring 2025,Completed,Male,Sophomore,22,3.03,1,6834.08,2470.28,2025-01-25
STU00091,Chemistry,Analytical Chemistry,Fall 2023,Completed,Female,Senior,28,2.93,3,23618.58,13806.22,2023-08-28
STU00092,Computer Science,Networks,Spring 2025,Enrolled,Male,Junior,27,3.22,3,13830.61,7366.49,2025-01-16
STU00093,Chemistry,Physical Chemistry,Fall 2024,Enrolled,Male,Sophomore,28,3.41,1,7022.45,354.38,2024-08-24
STU00094,Biology,Evolution,Spring 2024,Completed,Male,Senior,25,3.78,4,6455.26,3183.19,2024-01-09
STU00095,Economics,Microeconomics,Spring 2023,Enrolled,Female,Junior,22,2.31,3,16626.11,8610.38,2023-01-29
STU00096,Economics,Game Theory,Fall 2024,Completed,Female,Junior,18,3.14,3,23944.97,14165.86,2024-08-15
STU00097,Economics,Econometrics,Fall 2023,Enrolled,Female,Junior,21,2.74,1,20542.94,6882.76,2023-08-24
STU00098,Psychology,Cognitive Psychology,Fall 2023,Completed,Male,Graduate,31,2.99,3,11605.05,3025.1,2023-08-27
STU00099,Mathematics,Differential Equations,Fall 2023,Enrolled,Male,Freshman,19,2.76,2,7376.36,520.15,2023-08-23
STU00100,Chemistry,General Chemistry,Spring 2025,Completed,Female,Sophomore,24,3.08,4,19920.9,6972.74,2025-01-22
STU00101,Mathematics,Differential Equations,Spring 2023,Enrolled,Male,Junior,26,2.93,2,24264.45,176.95,2023-01-22
STU00102,Computer Science,Databases,Spring 2025,Completed,Female,Senior,22,3.33,4,5868.02,3255.5,2025-01-10
STU00103,Mathematics,Discrete Math,Fall 2024,Enrolled,Male,Graduate,25,3.34,3,15461.96,5839.04,2024-08-25
STU00104,Mathematics,Calculus II,Spring 2023,Dropped,Female,Graduate,22,3.13,2,17551.16,6153.24,2023-01-25
STU00105,Psychology,Abnormal Psychology,Spring 2024,Completed,Female,Senior,24,4.0,3,10547.62,1190.54,2024-01-15
STU00106,Business Administration,Entrepreneurship,Spring 2023,Waitlisted,Male,Sophomore,27,2.7,2,9587.89,1529.87,2023-01-14
STU00107,Chemistry,General Chemistry,Fall 2023,Enrolled,Male,Freshman,26,2.94,4,5646.32,947.78,2023-09-04
STU00108,Economics,Game Theory,Spring 2024,Enrolled,Male,Junior,21,2.27,4,17055.64,2772.81,2024-01-20
STU00109,Mathematics,Probability,Fall 2023,Enrolled,Female,Graduate,24,3.47,2,13364.86,7479.47,2023-09-01
STU00110,History,World History,Fall 2024,Completed,Female,Sophomore,28,3.84,1,5904.37,93.41,2024-08-12
STU00111,Computer Science,Algorithms,Spring 2025,Completed,Female,Junior,23,3.25,4,12617.82,7342.92,2025-01-22
STU00112,Mathematics,Statistics,Fall 2024,Completed,Female,Graduate,34,2.55,4,6270.24,138.53,2024-08-12
STU00113,Economics,Microeconomics,Fall 2024,Waitlisted,Female,Graduate,26,3.1,3,20379.75,11552.45,2024-08-21
STU00114,Computer Science,Data Structures,Fall 2023,Completed,Female,Graduate,24,3.12,1,9946.96,2688.93,2023-08-28
STU00115,Chemistry,Physical Chemistry,Spring 2023,Dropped,Male,Senior,18,3.16,3,9572.86,3858.06,2023-01-11
STU00116,Physics,Optics,Spring 2024,Dropped,Non-binary,Senior,29,3.36,3,10373.45,138.08,2024-01-09
STU00117,History,European History,Fall 2023,Enrolled,Male,Senior,23,3.16,4,22043.63,7299.62,2023-08-19
STU00118,Chemistry,Analytical Chemistry,Spring 2025,Completed,Male,Junior,28,3.88,3,13069.66,1050.92,2025-01-20
STU00119,English,Creative Writing,Spring 2025,Completed,Female,Freshman,24,3.42,4,19081.6,2438.22,2025-01-11
STU00120,History,World History,Fall 2023,Enrolled,Female,Senior,29,3.78,1,24609.25,8978.75,2023-09-01
STU00121,Biology,Ecology,Fall 2024,Waitlisted,Male,Senior,28,3.23,1,15948.93,4314.92,2024-08-26
STU00122,Computer Science,Machine Learning,Fall 2024,Enrolled,Male,Senior,29,2.87,1,10959.19,3442.95,2024-08-28
STU00123,Biology,Cell Biology,Spring 2024,Enrolled,Female,Senior,22,3.0,3,21841.83,10076.74,2024-01-27
STU00124,Psychology,Social Psychology,Spring 2024,Completed,Male,Senior,25,3.81,2,5917.23,2204.07,2024-01-09
STU00125,History,US History,Spring 2025,Completed,Female,Freshman,28,2.19,3,15745.27,4346.82,2025-01-21
STU00126,History,European History,Spring 2025,Completed,Female,Junior,28,3.56,3,7776.54,2990.27,2025-01-13
STU00127,Business Administration,Entrepreneurship,Spring 2025,Completed,Male,Graduate,25,3.47,4,14479.23,5799.43,2025-01-23
STU00128,English,British Literature,Fall 2024,Completed,Male,Junior,27,2.95,2,9476.98,4672.86,2024-08-29
STU00129,Biology,Anatomy,Spring 2024,Waitlisted,Male,Junior,29,2.98,4,15974.31,5122.23,2024-01-19
STU00130,History,Ancient Civilizations,Spring 2025,Dropped,Female,Sophomore,27,3.06,4,22884.35,1767.79,2025-01-18
STU00131,Computer Science,Algorithms,Spring 2024,Completed,Female,Senior,28,2.75,1,22471.57,12416.07,2024-01-24
STU00132,Psychology,Abnormal Psychology,Spring 2023,Enrolled,Female,Sophomore,27,3.21,1,22366.02,1134.19,2023-01-12
STU00133,Economics,Econometrics,Spring 2024,Completed,Female,Junior,21,2.83,4,14690.46,5449.47,2024-01-21
STU00134,English,Linguistics,Fall 2024,Dropped,Female,Freshman,25,2.49,1,19410.32,726.04,2024-08-30
STU00135,Biology,Evolution,Fall 2024,Enrolled,Male,Freshman,24,3.53,4,19992.32,365.53,2024-08-29
STU00136,Mathematics,Differential Equations,Fall 2024,Waitlisted,Male,Junior,27,3.34,1,12082.93,2879.34,2024-08-16
STU00137,Computer Science,Web Dev,Spring 2025,Enrolled,Male,Sophomore,29,2.78,2,7395.24,3951.4,2025-01-25
STU00138,Psychology,Abnormal Psychology,Fall 2024,Dropped,Male,Freshman,26,2.56,4,18582.05,8798.65,2024-08-24
STU00139,Business Administration,Business Ethics,Fall 2023,Waitlisted,Male,Senior,19,3.14,3,16736.82,7485.77,2023-08-31
STU00140,Economics,Econometrics,Fall 2024,Waitlisted,Male,Junior,29,2.67,2,7551.61,1285.78,2024-08-17
STU00141,Mathematics,Statistics,Spring 2025,Waitlisted,Male,Senior,21,3.56,3,12121.93,7175.08,2025-01-10
STU00142,Economics,Econometrics,Fall 2023,Enrolled,Female,Sophomore,26,4.0,4,9744.54,595.09,2023-08-20
STU00143,Business Administration,Accounting,Fall 2024,Waitlisted,Male,Senior,23,2.77,3,8731.34,1493.56,2024-08-20
STU00144,Computer Science,Intro to CS,Spring 2025,Completed,Female,Junior,24,2.86,2,6032.71,66.03,2025-01-10
STU00145,Business Administration,Accounting,Fall 2023,Enrolled,Male,Sophomore,21,3.5,1,5106.0,2987.22,2023-08-20
STU00146,Computer Science,Databases,Spring 2025,Enrolled,Male,Sophomore,20,3.17,1,21417.23,9232.42,2025-01-16
STU00147,Chemistry,Biochemistry,Fall 2024,Enrolled,Male,Graduate,29,3.72,3,9101.55,5286.15,2024-08-15
STU00148,Psychology,Developmental Psychology,Spring 2025,Dropped,Male,Senior,20,3.06,3,8990.14,3971.38,2025-01-17
STU00149,English,Creative Writing,Spring 2024,Enrolled,Female,Sophomore,18,2.34,4,16624.76,1539.75,2024-01-11
STU00150,Psychology,Social Psychology,Spring 2023,Enrolled,Male,Freshman,28,3.5,4,16877.66,3739.05,2023-01-19
STU00151,English,Linguistics,Fall 2024,Enrolled,Male,Junior,22,3.6,1,10092.81,4126.97,2024-08-28
STU00152,Biology,Microbiology,Spring 2023,Waitlisted,Female,Graduate,30,2.81,2,16912.77,4785.4,2023-01-12
STU00153,Mathematics,Probability,Spring 2025,Waitlisted,Male,Senior,18,3.33,1,13170.37,7372.28,2025-01-16
STU00154,Physics,Mechanics,Spring 2025,Enrolled,Female,Freshman,26,3.42,2,9100.04,2070.6,2025-01-06
STU00155,Psychology,Cognitive Psychology,Spring 2024,Enrolled,Female,Graduate,29,3.39,4,20010.04,9599.26,2024-01-10
STU00156,Business Administration,Business Ethics,Fall 2024,Waitlisted,Female,Senior,22,3.35,4,8728.1,1234.28,2024-08-25
STU00157,Chemistry,General Chemistry,Fall 2024,Enrolled,Male,Sophomore,27,2.96,3,16766.13,6870.58,2024-08-19
STU00158,Mathematics,Probability,Spring 2024,Waitlisted,Female,Freshman,24,3.4,4,19275.65,10405.0,2024-01-13
STU00159,Chemistry,Organic Chemistry,Spring 2025,Waitlisted,Female,Freshman,18,3.11,2,9644.25,5205.43,2025-01-07
STU00160,Business Administration,Marketing,Spring 2023,Enrolled,Non-binary,Graduate,26,3.94,2,23129.44,8662.97,2023-01-28
STU00161,Mathematics,Differential Equations,Spring 2025,Enrolled,Male,Sophomore,23,3.18,3,11698.11,977.53,2025-01-20
STU00162,Physics,Optics,Spring 2023,Waitlisted,Male,Sophomore,18,3.38,3,15669.22,8403.96,2023-01-13
STU00163,Physics,Mechanics,Fall 2024,Enrolled,Male,Sophomore,23,3.51,3,20571.44,1766.61,2024-08-15
STU00164,Computer Science,Algorithms,Fall 2023,Enrolled,Male,Freshman,23,3.6,1,19281.28,5714.76,2023-08-24
STU00165,Economics,International Economics,Spring 2025,Completed,Male,Graduate,22,3.14,2,12576.43,3448.46,2025-01-25
STU00166,Business Administration,Marketing,Fall 2024,Waitlisted,Female,Junior,25,2.63,4,15045.77,4873.57,2024-08-26
STU00167,Computer Science,Intro to CS,Spring 2025,Dropped,Male,Freshman,21,3.58,4,17822.95,7420.93,2025-01-09
STU00168,Economics,Microeconomics,Spring 2025,Enrolled,Male,Sophomore,27,3.59,3,10035.98,2081.64,2025-01-16
STU00169,Business Administration,Business Ethics,Fall 2024,Completed,Male,Graduate,31,2.51,3,13471.94,2327.38,2024-08-22
STU00170,Economics,Game Theory,Fall 2024,Enrolled,Female,Graduate,33,2.76,2,23237.05,1939.59,2024-08-29
STU00171,History,Ancient Civilizations,Spring 2025,Completed,Female,Senior,26,3.53,4,16859.26,1033.94,2025-01-21
STU00172,Mathematics,Linear Algebra,Spring 2024,Completed,Male,Sophomore,21,2.63,4,20801.69,287.35,2024-01-17
STU00173,Mathematics,Calculus I,Spring 2025,Enrolled,Male,Junior,18,4.0,2,13482.61,5957.51,2025-01-13
STU00174,Psychology,Intro to Psychology,Fall 2024,Completed,Male,Freshman,26,3.77,4,23511.37,6359.91,2024-08-25
STU00175,English,Linguistics,Spring 2025,Completed,Female,Freshman,22,3.13,3,16825.51,4028.05,2025-01-14
STU00176,Business Administration,Accounting,Spring 2024,Completed,Male,Senior,22,3.65,2,11703.94,5637.93,2024-01-28
STU00177,Mathematics,Linear Algebra,Spring 2025,Enrolled,Female,Graduate,31,2.59,2,15747.91,8691.48,2025-01-07
STU00178,History,Modern History,Spring 2025,Dropped,Female,Graduate,28,2.27,1,11939.06,5283.04,2025-01-22
STU00179,Business Administration,Business Ethics,Spring 2025,Enrolled,Male,Junior,28,3.34,3,8310.27,168.93,2025-01-06
STU00180,English,Creative Writing,Fall 2023,Enrolled,Female,Freshman,18,2.34,2,20609.91,3432.63,2023-09-01
STU00181,Computer Science,Data Structures,Fall 2024,Enrolled,Male,Junior,22,3.32,2,14179.78,4741.48,2024-09-02
STU00182,English,British Literature,Fall 2024,Dropped,Female,Freshman,29,3.11,1,15701.39,1737.79,2024-08-18
STU00183,Physics,Electromagnetism,Spring 2025,Enrolled,Male,Senior,18,2.66,4,13535.78,6495.4,2025-01-22
STU00184,Economics,Game Theory,Spring 2024,Enrolled,Female,Freshman,25,2.29,3,16749.07,2954.98,2024-01-26
STU00185,History,World History,Fall 2023,Completed,Female,Junior,19,1.77,1,13015.26,4370.32,2023-08-18
STU00186,Biology,Microbiology,Spring 2025,Enrolled,Male,Sophomore,18,3.65,2,11687.26,529.46,2025-01-08
STU00187,Chemistry,Biochemistry,Fall 2023,Enrolled,Female,Sophomore,27,3.52,2,13174.68,200.67,2023-09-01
STU00188,History,Modern History,Fall 2024,Completed,Female,Junior,24,2.44,1,18178.48,295.54,2024-08-14
STU00189,History,World History,Spring 2024,Completed,Male,Junior,25,3.11,4,16900.98,3440.41,2024-01-12
STU00190,Business Administration,Management,Fall 2024,Completed,Male,Freshman,20,2.39,3,22749.21,7598.99,2024-08-19
STU00191,Physics,Optics,Spring 2024,Completed,Male,Senior,19,3.72,1,24252.99,13742.86,2024-01-28
STU00192,Biology,Microbiology,Fall 2024,Completed,Male,Junior,24,3.31,3,22926.72,178.85,2024-08-18
STU00193,Biology,Ecology,Spring 2025,Enrolled,Female,Graduate,22,3.26,2,13428.49,7192.34,2025-01-20
STU00194,English,British Literature,Fall 2024,Dropped,Female,Sophomore,22,2.47,1,11836.35,1842.38,2024-08-13
STU00195,Physics,Thermodynamics,Fall 2023,Completed,Female,Freshman,20,2.32,2,17482.98,4294.64,2023-08-23
STU00196,Economics,International Economics,Spring 2025,Dropped,Male,Graduate,23,3.4,3,22221.36,2926.69,2025-01-17
STU00197,English,American Literature,Spring 2024,Completed,Female,Junior,25,3.18,1,24707.35,6983.27,2024-01-24
STU00198,English,Poetry,Spring 2023,Completed,Male,Junior,19,2.61,3,5449.39,878.48,2023-01-17
STU00199,Mathematics,Probability,Spring 2025,Waitlisted,Female,Graduate,23,2.43,4,7787.12,3901.02,2025-01-09
STU00200,Economics,Game Theory,Fall 2024,Dropped,Female,Senior,27,3.47,2,15513.8,1598.04,2024-08-16
STU00201,English,Poetry,Spring 2024,Enrolled,Male,Freshman,28,3.16,3,21301.09,6365.93,2024-01-09
STU00202,Mathematics,Discrete Math,Fall 2024,Enrolled,Female,Senior,18,3.76,2,13104.96,3911.55,2024-08-23
STU00203,English,British Literature,Spring 2025,Enrolled,Female,Graduate,28,2.65,1,19643.69,2955.17,2025-01-18
STU00204,English,Creative Writing,Fall 2023,Completed,Male,Junior,26,2.65,2,14885.48,5120.26,2023-08-31
STU00205,English,Creative Writing,Fall 2024,Enrolled,Male,Senior,27,3.8,2,13440.72,2853.77,2024-09-02
STU00206,Business Administration,Business Ethics,Spring 2025,Enrolled,Male,Junior,28,2.85,2,8687.42,470.88,2025-01-24
STU00207,Psychology,Intro to Psychology,Fall 2024,Completed,Male,Junior,27,3.51,3,19430.66,7116.34,2024-09-02
STU00208,Physics,Electromagnetism,Spring 2024,Dropped,Male,Sophomore,19,3.04,2,12932.99,7403.52,2024-01-12
STU00209,Mathematics,Linear Algebra,Spring 2025,Enrolled,Female,Graduate,29,3.4,1,6028.52,1795.41,2025-01-18
STU00210,English,Poetry,Spring 2023,Enrolled,Male,Graduate,32,2.34,2,11684.88,5404.81,2023-01-30
STU00211,Economics,Microeconomics,Spring 2024,Completed,Male,Senior,26,3.19,3,14909.83,6158.38,2024-01-17
STU00212,Economics,Macroeconomics,Fall 2024,Enrolled,Female,Senior,26,2.93,2,9928.04,4879.25,2024-08-16
STU00213,English,Linguistics,Spring 2025,Waitlisted,Male,Junior,29,2.56,4,16804.61,3639.62,2025-01-17
STU00214,Psychology,Developmental Psychology,Spring 2024,Enrolled,Male,Graduate,32,3.56,2,23346.27,1916.52,2024-01-17
STU00215,Chemistry,General Chemistry,Fall 2024,Waitlisted,Female,Freshman,26,2.44,1,15838.02,8295.44,2024-08-19
STU00216,Chemistry,General Chemistry,Spring 2025,Enrolled,Female,Sophomore,22,2.99,4,20180.72,8767.76,2025-01-21
STU00217,Mathematics,Calculus II,Spring 2025,Waitlisted,Female,Senior,23,3.78,1,6031.92,2424.53,2025-01-15
STU00218,History,Modern History,Spring 2024,Enrolled,Male,Sophomore,24,3.61,1,24987.07,8332.79,2024-01-14
STU00219,English,Creative Writing,Spring 2025,Completed,Female,Sophomore,22,2.69,1,7305.64,1848.75,2025-01-23
STU00220,Chemistry,Analytical Chemistry,Fall 2024,Enrolled,Female,Senior,21,3.41,1,21890.99,4191.26,2024-08-21
STU00221,Mathematics,Calculus I,Fall 2023,Dropped,Female,Graduate,28,3.15,4,9600.18,694.48,2023-08-16
STU00222,Mathematics,Differential Equations,Fall 2023,Enrolled,Male,Senior,20,2.87,4,18925.78,3859.44,2023-08-26
STU00223,Mathematics,Calculus I,Spring 2025,Completed,Female,Graduate,28,3.31,2,20814.46,3980.8,2025-01-23
STU00224,Physics,Thermodynamics,Spring 2024,Completed,Male,Senior,18,2.14,2,22719.55,8395.28,2024-01-09
STU00225,Mathematics,Discrete Math,Spring 2025,Enrolled,Female,Graduate,28,3.23,1,5004.75,556.95,2025-01-23
STU00226,History,Ancient Civilizations,Spring 2023,Enrolled,Male,Freshman,20,3.09,3,6400.59,36.43,2023-01-26
STU00227,Mathematics,Linear Algebra,Fall 2023,Completed,Male,Graduate,34,3.09,3,16615.14,2708.47,2023-08-24
